sigla,cidade,pontuacao
SBQV,VITÓRIA DA CONQUISTA,0.7332898740191012
SBJV,JOINVILLE,0.6884237059159206
SBCJ,PARAUAPEBAS,0.6520279621472583
SWFX,SÃO FÉLIX DO ARAGUAIA,0.6488009898574092
SBPL,PETROLINA,0.6476653137244286
SBGV,GOVERNADOR VALADARES,0.5918016714393162
SBJU,JUAZEIRO DO NORTE,0.5892240914283319
SBTT,TABATINGA,0.5766221803554799
SBSG,SÃO GONÇALO DO AMARANTE,0.573487940407358
SWGI,GURUPI,0.5722055692618594
SJHG,CONFRESA,0.5524119739558955
SBDN,PRESIDENTE PRUDENTE,0.5490362853277474
SBSM,SANTA MARIA,0.5293821280298288
SDOW,OURILÂNDIA DO NORTE,0.5266931898484474
SBAU,ARAÇATUBA,0.5184455155977047
SNDC,REDENÇÃO,0.5166281224985141
SBUR,UBERABA,0.5152577902539633
SWPI,PARINTINS,0.5123450931627302
SBIZ,IMPERATRIZ,0.495820056181401
SBAX,ARAXÁ,0.4882446094008627
SBPF,PASSO FUNDO,0.4856176639033946
SWJN,JUÍNA,0.4815020330852348
SBCA,CASCAVEL,0.4811067287344486
SBAE,AREALVA,0.4801995622459798
SBAA,CONCEIÇÃO DO ARAGUAIA,0.47291722399386354
SBPK,PELOTAS,0.46747223751735867
SWSI,SINOP,0.4614239517482929
SBNM,SANTO ÂNGELO,0.4480603617004818
SWGN,ARAGUAÍNA,0.43913912535062993
SWTS,TANGARÁ DA SERRA,0.43904023264822156
SBJF,JUIZ DE FORA,0.43175370152457615
SBTD,TOLEDO,0.42538020703941604
SBML,MARÍLIA,0.4249910149024799
SBUA,SÃO GABRIEL DA CACHOEIRA,0.39733506410266267
SBJI,JI-PARANÁ,0.3834246310987509
SNVS,BREVES,0.38255591921633825
SNGI,GUANAMBI,0.3820210373414739
SBFN,FERNANDO DE NORONHA,0.3810312978574075
SBVH,VILHENA,0.37764316612156096
SBCN,CALDAS NOVAS,0.3723108590114863
SSJA,JOAÇABA,0.3679679877604941
SBVG,VARGINHA,0.3603658130014084
SBCX,CAXIAS DO SUL,0.35850523279514174
SBSJ,SÃO JOSÉ DOS CAMPOS,0.357489789731335
SWKO,COARI,0.35671643306268386
SNKE,SANTANA DO ARAGUAIA,0.3524333162647964
SBIH,ITAITUBA,0.3460767834039871
SBTB,ORIXIMINÁ,0.34126491472416093
SNBR,BARREIRAS,0.33744251611642534
SBME,MACAÉ,0.33537616344401616
SWRP,ARIPUANÃ,0.3331933147491782
SDCG,SÃO PAULO DE OLIVENÇA,0.32708723170726456
SWCA,CARAUARI,0.3268986170645804
SWRD,RONDONÓPOLIS,0.3235530257283245
SSUM,UMUARAMA,0.32195159117109146
SSKW,CACOAL,0.31603772393136753
SJRG,RIO GRANDE,0.31539629197795865
SBAT,ALTA FLORESTA,0.31325162194552836
SWHP,ÁGUA BOA,0.31080238562026363
SWBC,BARCELOS,0.3103299999595038
SSER,ERECHIM,0.30827545866632133
SBCZ,CRUZEIRO DO SUL,0.3068751668353799
SBKG,CAMPINA GRANDE,0.3055450442014263
SWEI,EIRUNEPÉ,0.2969224249958644
SNZA,POUSO ALEGRE,0.28871943729354815
SBCP,CAMPOS DOS GOYTACAZES,0.28548259317176433
SNMZ,PORTO DE MOZ,0.28475997076348
SNPD,PATOS DE MINAS,0.28076676871714884
SWHT,HUMAITÁ,0.278804635645065
SWDB,BARRA DO GARÇAS,0.2786754148889195
SDOV,MOZARLÂNDIA,0.2776960432101305
SNIU,IPIAÚ,0.27757149904742845
SBMD,ALMEIRIM,0.2711443121806951
SBCR,CORUMBÁ,0.2682835496932967
SBJR,RIO DE JANEIRO,0.2638349702421692
